U001,admin,admin123,admin@hallsymphony.com,0123456789,ADMIN,false
U002,manager,manager123,manager@hallsymphony.com,0198765432,MANAGER,false
U003,scheduler1,sched123,sched1@hallsymphony.com,0111234567,SCHEDULER,false
U004,scheduler2,sched123,sched2@hallsymphony.com,0112345678,SCHEDULER,false
U005,scheduler3,sched123,sched3@hallsymphony.com,0113456789,SCHEDULER,false
U006,scheduler4,sched123,sched4@hallsymphony.com,0114567890,SCHEDULER,false
U007,scheduler5,sched123,sched5@hallsymphony.com,0115678901,SCHEDULER,false
U008,scheduler6,sched123,sched6@hallsymphony.com,0116789012,SCHEDULER,false
U009,scheduler7,sched123,sched7@hallsymphony.com,0117890123,SCHEDULER,false
U010,scheduler8,sched123,sched8@hallsymphony.com,0118901234,SCHEDULER,false
U011,alice123,pass1234,alice@gmail.com,0121111111,CUSTOMER,false
U012,bobtan,pass1234,bob@gmail.com,0122222222,CUSTOMER,false
U013,charlie99,pass1234,charlie@yahoo.com,0123333333,CUSTOMER,false
U014,dianawong,pass1234,diana@hotmail.com,0124444444,CUSTOMER,false
U015,ericlee,pass1234,eric@gmail.com,0125555555,CUSTOMER,false
U016,fatimaali,pass1234,fatima@gmail.com,0126666666,CUSTOMER,false
U017,georgekim,pass1234,george@yahoo.com,0127777777,CUSTOMER,false
U018,hannahng,pass1234,hannah@gmail.com,0128888888,CUSTOMER,false
